Namespace(n_epochs=100, batch_size=64, lr=5e-05, n_cpu=8, latent_dim=100, img_size=28, channels=1, n_critic=5, clip_value=0.01, sample_interval=3000)
[Epoch 1/100] [Batch 530/938] [D loss: -0.189522] [G loss: -12.664562]
[Epoch 1/100] [Batch 535/938] [D loss: -0.229230] [G loss: -12.701202]
[Epoch 1/100] [Batch 540/938] [D loss: -0.167899] [G loss: -12.685168]
[Epoch 1/100] [Batch 545/938] [D loss: -0.124618] [G loss: -12.737516]
[Epoch 1/100] [Batch 550/938] [D loss: -0.110406] [G loss: -12.717786]
[Epoch 1/100] [Batch 555/938] [D loss: -0.155633] [G loss: -12.727198]
[Epoch 1/100] [Batch 560/938] [D loss: -0.129371] [G loss: -12.741992]
[Epoch 1/100] [Batch 565/938] [D loss: -0.153804] [G loss: -12.755579]
[Epoch 1/100] [Batch 570/938] [D loss: -0.178733] [G loss: -12.726336]
[Epoch 1/100] [Batch 575/938] [D loss: -0.196012] [G loss: -12.713853]
[Epoch 1/100] [Batch 580/938] [D loss: -0.143568] [G loss: -12.724655]
[Epoch 1/100] [Batch 585/938] [D loss: -0.204289] [G loss: -12.737383]
[Epoch 1/100] [Batch 590/938] [D loss: -0.102108] [G loss: -12.727547]
[Epoch 1/100] [Batch 595/938] [D loss: -0.187574] [G loss: -12.760024]
[Epoch 1/100] [Batch 600/938] [D loss: -0.109715] [G loss: -12.788283]
[Epoch 1/100] [Batch 605/938] [D loss: -0.237171] [G loss: -12.804864]
[Epoch 1/100] [Batch 610/938] [D loss: -0.157143] [G loss: -12.845535]
[Epoch 1/100] [Batch 615/938] [D loss: -0.079541] [G loss: -12.897818]
[Epoch 1/100] [Batch 620/938] [D loss: -0.132483] [G loss: -12.926847]
[Epoch 1/100] [Batch 625/938] [D loss: -0.141324] [G loss: -12.926809]
[Epoch 1/100] [Batch 630/938] [D loss: -0.137665] [G loss: -12.888693]
[Epoch 1/100] [Batch 635/938] [D loss: -0.096717] [G loss: -12.936569]
[Epoch 1/100] [Batch 640/938] [D loss: -0.193236] [G loss: -12.895453]
[Epoch 1/100] [Batch 645/938] [D loss: -0.279977] [G loss: -12.881533]
[Epoch 1/100] [Batch 650/938] [D loss: -0.193213] [G loss: -12.895084]
